iter	Passed	Remaining
0	0	504
1	0	586
2	0	498
3	1	462
4	1	439
5	1	418
6	1	401
7	2	393
8	2	386
9	2	380
10	2	374
11	2	369
12	3	363
13	3	362
14	3	359
15	3	356
16	4	354
17	4	352
18	4	352
19	4	351
20	4	350
21	5	349
22	5	349
23	5	350
24	5	349
25	6	349
26	6	348
27	6	348
28	6	347
29	7	347
30	7	346
31	7	346
32	7	346
33	8	346
34	8	345
35	8	344
36	8	343
37	8	342
38	9	341
39	9	341
40	9	340
41	9	344
42	10	344
43	10	344
44	10	343
45	10	342
46	11	342
47	11	342
48	11	342
49	11	346
50	12	346
51	12	345
52	12	346
53	12	346
54	13	345
55	13	344
56	13	343
57	13	342
58	14	342
59	14	341
60	14	341
61	14	340
62	14	339
63	15	339
64	15	338
65	15	338
66	15	337
67	16	337
68	16	336
69	16	335
70	16	335
71	16	334
72	17	334
73	17	333
74	17	333
75	17	332
76	17	332
77	18	331
78	18	330
79	18	330
80	18	329
81	19	329
82	19	328
83	19	328
84	19	327
85	19	326
86	20	326
87	20	325
88	20	325
89	20	324
90	20	324
91	21	323
92	21	324
93	21	323
94	21	323
95	22	323
96	22	322
97	22	322
98	22	322
99	23	322
100	23	322
101	23	321
102	23	321
103	23	321
104	24	321
105	24	320
106	24	320
107	24	320
108	25	321
109	25	320
110	25	320
111	25	320
112	26	319
113	26	319
114	26	318
115	26	318
116	26	318
117	27	317
118	27	317
119	27	317
120	27	316
121	28	316
122	28	316
123	28	315
124	28	315
125	28	314
126	29	314
127	29	314
128	29	314
129	29	313
130	29	313
131	30	313
132	30	312
133	30	312
134	30	312
135	31	311
136	31	311
137	31	311
138	31	310
139	31	310
140	32	310
141	32	309
142	32	309
143	32	309
144	33	309
145	33	309
146	33	309
147	33	309
148	34	309
149	34	308
150	34	308
151	34	308
152	34	307
153	35	307
154	35	307
155	35	306
156	35	306
157	36	306
158	36	305
159	36	305
160	36	305
161	36	305
162	37	304
163	37	304
164	37	304
165	37	303
166	38	303
167	38	303
168	38	302
169	38	302
170	38	302
171	39	302
172	39	301
173	39	301
174	39	301
175	40	301
176	40	300
177	40	300
178	40	300
179	40	300
180	41	299
181	41	299
182	41	299
183	41	299
184	42	299
185	42	298
186	42	299
187	42	299
188	43	299
189	43	298
190	43	298
191	43	298
192	44	298
193	44	297
194	44	297
195	44	297
196	44	296
197	45	296
198	45	296
199	45	296
200	45	295
201	45	295
202	46	295
203	46	294
204	46	294
205	46	294
206	47	294
207	47	293
208	47	293
209	47	293
210	47	292
211	48	292
212	48	292
213	48	291
214	48	291
