iter	RMSE
0	0.3439413456
1	0.3339763928
2	0.3240904958
3	0.3149352673
4	0.3060934084
5	0.2978072709
6	0.2896855769
7	0.2826188202
8	0.2754707325
9	0.2684246224
10	0.2619180139
11	0.2556267029
12	0.2498111155
13	0.2438685715
14	0.2384498729
15	0.233107666
16	0.2280743201
17	0.2235213654
18	0.2186865961
19	0.2143424317
20	0.2103513758
21	0.2063869031
22	0.2026379248
23	0.1990896589
24	0.1954054207
25	0.1920792835
26	0.1890493599
27	0.1861436511
28	0.1834389057
29	0.1807930416
30	0.1781742549
31	0.1758511894
32	0.1736259527
33	0.171183677
34	0.1689141509
35	0.1670994697
36	0.1651590977
37	0.1632117569
38	0.1615900702
39	0.1600191219
40	0.1584708
41	0.1569172697
42	0.1554996971
43	0.1541431541
44	0.1528826953
45	0.1517218245
46	0.1505710489
47	0.1494887524
48	0.1484634583
49	0.1474582863
50	0.1465449166
51	0.1456120424
52	0.1450155776
53	0.1441183411
54	0.1433957886
55	0.1425859772
56	0.1417513597
57	0.1410800241
58	0.140431104
59	0.1398051104
60	0.1391816851
61	0.1384328535
62	0.1378209713
63	0.1372983052
64	0.1367540976
65	0.1362571834
66	0.1356647385
67	0.1350486633
68	0.1345337058
69	0.134124125
70	0.1338199157
71	0.1333791235
72	0.132963439
73	0.1324819655
74	0.1320941827
75	0.1317831387
76	0.1313254715
77	0.1308924288
78	0.1305046316
79	0.1302535261
80	0.1299664348
81	0.129654929
82	0.1293831933
83	0.1291250329
84	0.1288844231
85	0.1286402123
86	0.1284083624
87	0.1280836431
88	0.1277474269
89	0.1274723976
90	0.127246505
91	0.1269554155
92	0.1268054103
93	0.1265623802
94	0.1264128972
95	0.1262094399
96	0.1259887996
97	0.125805286
98	0.1256644865
99	0.1253753208
100	0.125112726
101	0.1249559204
102	0.1247730182
103	0.1245662728
104	0.1244312527
105	0.1243305683
106	0.1241342513
107	0.1239171865
108	0.1237046137
109	0.1235144637
110	0.1233127083
111	0.1231603384
112	0.1230760882
113	0.1228114394
114	0.12269727
115	0.1225711243
116	0.1223642263
117	0.1222041866
118	0.1220521337
119	0.1219280516
120	0.1217707641
121	0.1216412102
122	0.121418865
123	0.1212913809
124	0.1211663899
125	0.1210495004
126	0.1209652923
127	0.1208712271
128	0.1206652754
129	0.1204665969
130	0.120346521
131	0.1201976329
132	0.1200053661
133	0.1198353532
134	0.1196932449
135	0.1196080127
136	0.119538157
137	0.1193888329
138	0.1192828239
